source,metric,identity,metric_class,semantic_role,purpose,quality_definedness,current_named_use,normative_destinations,forbidden_use,review_note,normative_status,baseline_commit
correlation,last_price,correlation/last_price,direct_or_derived_measurement,RELATIONSHIP_STATE,Current price sample retained to form the return path.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Coordination/Coattail context; Causal relations; Opportunity/Valuation; Hindsight,"Do not infer causality, leadership, common operator, or exploitability from dependence.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
correlation,observation_count,correlation/observation_count,direct_or_derived_measurement,RELATIONSHIP_STATE,"Support/provenance: number of retained price observations, not relationship strength.",Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Coordination/Coattail context; Causal relations; Opportunity/Valuation; Hindsight,"Do not infer causality, leadership, common operator, or exploitability from dependence.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
correlation,signed_correlation,correlation/signed_correlation,derived_dimensionless,RELATIONSHIP_STATE,Direction and strength of contemporaneous return dependence for the evaluated relation/cohort.,Requires temporally valid path overlap/support appropriate to the statistic; missing support is not zero relationship.,Category:SystemicHerd,Category(current; review semantics); Coordination/Coattail context; Causal relations; Opportunity/Valuation; Hindsight,"Do not infer causality, leadership, common operator, or exploitability from dependence.",,KEEP_NAMED_USE,993c147ea9a3eb371c5b51d3210088bd8aec708a
correlation,absolute_correlation,correlation/absolute_correlation,derived_dimensionless,RELATIONSHIP_STATE,Magnitude of contemporaneous return dependence independent of sign.,Requires temporally valid path overlap/support appropriate to the statistic; missing support is not zero relationship.,,Coordination/Coattail context; Causal relations; Opportunity/Valuation; Hindsight,"Do not infer causality, leadership, common operator, or exploitability from dependence.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
correlation,cohort_signed_correlation,correlation/cohort_signed_correlation,derived_dimensionless,RELATIONSHIP_STATE,Focal symbol's aggregate signed dependence to its explicit peer cohort.,Requires temporally valid path overlap/support appropriate to the statistic; missing support is not zero relationship.,Category:SystemicHerd,Category(current; review semantics); Coordination/Coattail context; Causal relations; Opportunity/Valuation; Hindsight,"Do not infer causality, leadership, common operator, or exploitability from dependence.",,KEEP_NAMED_USE,993c147ea9a3eb371c5b51d3210088bd8aec708a
correlation,cohort_absolute_correlation,correlation/cohort_absolute_correlation,derived_dimensionless,RELATIONSHIP_STATE,Focal symbol's aggregate dependence magnitude to its explicit peer cohort.,Requires temporally valid path overlap/support appropriate to the statistic; missing support is not zero relationship.,,Coordination/Coattail context; Causal relations; Opportunity/Valuation; Hindsight,"Do not infer causality, leadership, common operator, or exploitability from dependence.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
correlation,covariance,correlation/covariance,derived_measurement,RELATIONSHIP_STATE,"Unnormalised shared return variation; diagnostic/derivation input, not cross-symbol score.",Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Coordination/Coattail context; Causal relations; Opportunity/Valuation; Hindsight,"Do not infer causality, leadership, common operator, or exploitability from dependence.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
correlation,return_energy:reference,correlation/return_energy:reference,direct_or_derived_measurement,RELATIONSHIP_STATE,"Integrated return variation for the reference path; denominator/support geometry for dependence, not alpha.",Requires temporally valid path overlap/support appropriate to the statistic; missing support is not zero relationship.,,Coordination/Coattail context; Causal relations; Opportunity/Valuation; Hindsight,"Do not infer causality, leadership, common operator, or exploitability from dependence.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
correlation,return_energy:measured,correlation/return_energy:measured,direct_or_derived_measurement,RELATIONSHIP_STATE,"Integrated return variation for the measured path; denominator/support geometry for dependence, not alpha.",Requires temporally valid path overlap/support appropriate to the statistic; missing support is not zero relationship.,,Coordination/Coattail context; Causal relations; Opportunity/Valuation; Hindsight,"Do not infer causality, leadership, common operator, or exploitability from dependence.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
correlation,return_energy_rate:reference,correlation/return_energy_rate:reference,temporal_dynamic_or_rate,RELATIONSHIP_STATE,"Return quadratic-variation rate over shared time; measures movement energy per event time, not direction.",Requires temporally valid path overlap/support appropriate to the statistic; missing support is not zero relationship.,,Coordination/Coattail context; Causal relations; Opportunity/Valuation; Hindsight,"Do not infer causality, leadership, common operator, or exploitability from dependence.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
