source,metric,spec_status,implementation_status,ownership_status,purpose,action,baseline_commit
liquidity,touch_notional_baseline:bid,SHOULD minimal set,NOT_PROJECTED,LIQUIDITY_CANONICAL,Causal central estimate of normal displayed bid-touch notional.,Implement only when the restored Liquidity estimator architecture is deliberately scheduled; preserve causal baseline/noise/definedness semantics.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,touch_notional_baseline:ask,SHOULD minimal set,NOT_PROJECTED,LIQUIDITY_CANONICAL,Causal central estimate of normal displayed ask-touch notional.,Implement only when the restored Liquidity estimator architecture is deliberately scheduled; preserve causal baseline/noise/definedness semantics.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,depth_ratio:bid,SHOULD minimal set,NOT_PROJECTED,LIQUIDITY_CANONICAL,Current bid-touch notional divided by its causal historical baseline.,Implement only when the restored Liquidity estimator architecture is deliberately scheduled; preserve causal baseline/noise/definedness semantics.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,depth_ratio:ask,SHOULD minimal set,NOT_PROJECTED,LIQUIDITY_CANONICAL,Current ask-touch notional divided by its causal historical baseline.,Implement only when the restored Liquidity estimator architecture is deliberately scheduled; preserve causal baseline/noise/definedness semantics.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,depth_divergence:bid,SHOULD minimal set,NOT_PROJECTED,LIQUIDITY_CANONICAL,Log-ratio departure of current bid-touch notional from its causal baseline.,Implement only when the restored Liquidity estimator architecture is deliberately scheduled; preserve causal baseline/noise/definedness semantics.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,depth_divergence:ask,SHOULD minimal set,NOT_PROJECTED,LIQUIDITY_CANONICAL,Log-ratio departure of current ask-touch notional from its causal baseline.,Implement only when the restored Liquidity estimator architecture is deliberately scheduled; preserve causal baseline/noise/definedness semantics.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,depth_noise_scale:bid,"specified, not in minimal list",NOT_PROJECTED,LIQUIDITY_CANONICAL,Causal residual noise scale of bid-depth divergence.,Implement only when the restored Liquidity estimator architecture is deliberately scheduled; preserve causal baseline/noise/definedness semantics.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,depth_noise_scale:ask,"specified, not in minimal list",NOT_PROJECTED,LIQUIDITY_CANONICAL,Causal residual noise scale of ask-depth divergence.,Implement only when the restored Liquidity estimator architecture is deliberately scheduled; preserve causal baseline/noise/definedness semantics.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,depth_zscore:bid,SHOULD minimal set,NOT_PROJECTED,LIQUIDITY_CANONICAL,Bid-depth divergence standardized by its own causal residual noise.,Implement only when the restored Liquidity estimator architecture is deliberately scheduled; preserve causal baseline/noise/definedness semantics.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,depth_zscore:ask,SHOULD minimal set,NOT_PROJECTED,LIQUIDITY_CANONICAL,Ask-depth divergence standardized by its own causal residual noise.,Implement only when the restored Liquidity estimator architecture is deliberately scheduled; preserve causal baseline/noise/definedness semantics.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,relative_spread_baseline,SHOULD minimal set,NOT_PROJECTED,LIQUIDITY_CANONICAL,Causal central estimate of normal relative spread.,Implement only when the restored Liquidity estimator architecture is deliberately scheduled; preserve causal baseline/noise/definedness semantics.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,spread_ratio,specified,NOT_PROJECTED,LIQUIDITY_CANONICAL,Current relative spread divided by its causal historical baseline.,Implement only when the restored Liquidity estimator architecture is deliberately scheduled; preserve causal baseline/noise/definedness semantics.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,spread_divergence,SHOULD minimal set,NOT_PROJECTED,LIQUIDITY_CANONICAL,Log-ratio departure of current relative spread from its causal baseline.,Implement only when the restored Liquidity estimator architecture is deliberately scheduled; preserve causal baseline/noise/definedness semantics.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,spread_zscore,SHOULD minimal set,NOT_PROJECTED,LIQUIDITY_CANONICAL,Spread divergence standardized by its own causal residual noise.,Implement only when the restored Liquidity estimator architecture is deliberately scheduled; preserve causal baseline/noise/definedness semantics.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,divergence_velocity:bid,SHOULD minimal set,NOT_PROJECTED,LIQUIDITY_CANONICAL,Causal event-time regression slope of bid-depth divergence.,Implement only when the restored Liquidity estimator architecture is deliberately scheduled; preserve causal baseline/noise/definedness semantics.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,divergence_velocity:ask,SHOULD minimal set,NOT_PROJECTED,LIQUIDITY_CANONICAL,Causal event-time regression slope of ask-depth divergence.,Implement only when the restored Liquidity estimator architecture is deliberately scheduled; preserve causal baseline/noise/definedness semantics.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,spread_divergence_velocity,SHOULD minimal set,NOT_PROJECTED,LIQUIDITY_CANONICAL,Causal event-time regression slope of spread divergence.,Implement only when the restored Liquidity estimator architecture is deliberately scheduled; preserve causal baseline/noise/definedness semantics.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,divergence_velocity_snr:bid,specified conditional,NOT_PROJECTED,LIQUIDITY_CANONICAL,Slope power relative to regression uncertainty for bid-depth divergence velocity.,Implement only when the restored Liquidity estimator architecture is deliberately scheduled; preserve causal baseline/noise/definedness semantics.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,divergence_velocity_snr:ask,specified conditional,NOT_PROJECTED,LIQUIDITY_CANONICAL,Slope power relative to regression uncertainty for ask-depth divergence velocity.,Implement only when the restored Liquidity estimator architecture is deliberately scheduled; preserve causal baseline/noise/definedness semantics.,993c147ea9a3eb371c5b51d3210088bd8aec708a
